"uri","keyword_label","vocab_label","thesaurus_name","thesaurus_url","vocab_id","fuzzymatch_score"
NULL,"soc:clay ratio","clay ratio","keyword",NULL,"https://w3id.org/eusoilvoc#ClayRatio",83
NULL,"senet","sleet","keyword",NULL,"https://w3id.org/eusoilvoc#Sleet",80
NULL,"soil compounds","soil components","keyword",NULL,"https://w3id.org/eusoilvoc#SoilComponents",83
NULL,"soil lipids","soil liquid","keyword",NULL,"https://w3id.org/eusoilvoc#SoilLiquid",82
NULL,"soil microbial community","soil microbial activity","keyword",NULL,"https://w3id.org/eusoilvoc#SoilMicrobialActivity",81
NULL,"crops","crop","keyword",NULL,"https://w3id.org/eusoilvoc#Crop",89
NULL,"nuts","inputs","keyword",NULL,"https://w3id.org/eusoilvoc#Inputs",80
NULL,"aggregation","soil aggregation","keyword",NULL,"https://w3id.org/eusoilvoc#SoilAggregation",81
NULL,"soil storage","soil water storage","keyword",NULL,"https://w3id.org/eusoilvoc#SoilWaterStorage",80
NULL,"social identification","soil denitrification","keyword",NULL,"https://w3id.org/eusoilvoc#SoilDenitrification",88
NULL,"cultural ecosystem services","ecosystem services","keyword",NULL,"https://w3id.org/eusoilvoc#EcosystemServices",80
NULL,"alkalinity","soil pH","keyword",NULL,"https://w3id.org/eusoilvoc#SoilpH",80
NULL,"carbone organique dissout (cod)","soil organic carbon","keyword",NULL,"https://w3id.org/eusoilvoc#SoilOrganicCarbon",80
NULL,"ecologie","geology","keyword",NULL,"https://w3id.org/eusoilvoc#Geology",88
NULL,"nee","snow","keyword",NULL,"https://w3id.org/eusoilvoc#Snow",86
NULL,"earthworm","earthworms","keyword",NULL,"https://w3id.org/eusoilvoc#Earthworms",95
NULL,"borneo","boron","keyword",NULL,"https://w3id.org/eusoilvoc#Boron",80
NULL,"oden","soil","keyword",NULL,"https://w3id.org/eusoilvoc#Soil",89
NULL,"3705 geology","geology","keyword",NULL,"https://w3id.org/eusoilvoc#Geology",93
NULL,"pre depositional","parent deposition","keyword",NULL,"https://w3id.org/eusoilvoc#ParentDeposition",85
NULL,"error","iron","keyword",NULL,"https://w3id.org/eusoilvoc#Iron",80
NULL,"microfiltration","filtration","keyword",NULL,"https://w3id.org/eusoilvoc#Filtration",80
NULL,"soil protection","soil retention","keyword",NULL,"https://w3id.org/eusoilvoc#SoilRetention",83
NULL,"penetration resistance","soil penetration resistance","keyword",NULL,"https://w3id.org/eusoilvoc#SoilPenetrationResistance",90
NULL,"dissolved organic matter","soil organic matter","keyword",NULL,"https://w3id.org/eusoilvoc#SoilOrganicMatter",84
NULL,"ecología","geology","keyword",NULL,"https://w3id.org/eusoilvoc#Geology",88
NULL,"organic carbon","soil organic carbon","keyword",NULL,"https://w3id.org/eusoilvoc#SoilOrganicCarbon",85
NULL,"groundwater inputs","groundwater depth","keyword",NULL,"https://w3id.org/eusoilvoc#GroundwaterDepth",80
NULL,"co2 emissions","emissions","keyword",NULL,"https://w3id.org/eusoilvoc#Emissions",82
NULL,"tree","trees","keyword",NULL,"https://w3id.org/eusoilvoc#Trees",89
NULL,"urban development","land use","keyword",NULL,"https://w3id.org/eusoilvoc#LandUse",80
NULL,"soil physical-properties","soil physical properties","keyword",NULL,"https://w3id.org/eusoilvoc#SoilPhysicalProperties",96
NULL,"soil organic carbon dynamics","soil organic carbon loss","keyword",NULL,"https://w3id.org/eusoilvoc#SOCLoss",81
NULL,"yield stability","soil stability","keyword",NULL,"https://w3id.org/eusoilvoc#SoilStability",83
NULL,"crop yields","crop yield","keyword",NULL,"https://w3id.org/eusoilvoc#CropYield",95
NULL,"soc saturation","soil saturation","keyword",NULL,"https://w3id.org/eusoilvoc#SoilSaturation",90
NULL,"desertification","soil desertification","keyword",NULL,"https://w3id.org/eusoilvoc#SoilDesertification",86
NULL,"risk management","soil management","keyword",NULL,"https://w3id.org/eusoilvoc#SoilManagement",80
NULL,"plant productivity","soil productivity","keyword",NULL,"https://w3id.org/eusoilvoc#SoilProductivity",80
NULL,"carbon content","carbonate contents","keyword",NULL,"https://w3id.org/eusoilvoc#CarbonateContents",88
