record_id,name,description,service_type
327b8820-6d15-4852-b6f6-6cb717eee6fa,gsoc:sq2,HWSD - Soil Nutrient retention capacity,wms
fffc68e2-30d9-4ead-9862-b77dc9d0c41b,Mullakaardi WMS teenuse getCapabilities,NULL,wms
eea_r_3035_100_m_uhi-modelling_p_2008-2017_v01_r00,NULL,NULL,wms
10.2909/551d6741-84d0-43fb-bda8-1768d51bbb4c,Urban Atlas 2006,NULL,wms
copernicus_v_3035_10_m_ua-2012_p_2011-2013_vxx_rxx,NULL,UrbanAtlas_2012,wms
10.2909/05cbf86d-0168-47f5-9384-18c84b14f59c,NULL,NULL,wms
copernicus_v_3035_10_m_rz-2012-lclu_p_2011-2013_v01_r00,NULL,NULL,wms
10.2909/047f71ee-dec6-4c7b-8044-7a153c025588,Urban Atlas Change 2006-2012,NULL,wms
copernicus_v_3035_10_m_ua-2012_p_2011-2013_v02_r00,NULL,UrbanAtlas_2012,wms
10.2909/2afca4ec-76e2-4155-b4e6-7460f9f6ae01,Riparian Zones 2018 LCLU,NULL,wms
"eea_r_3035_100_m_clc-2018-acc_p_2017-2018_v01_r00,DAT-214-en",0,CLC_accounting_layer_2018,wms
https://www.dov.vlaanderen.be/geonetwork/srv/metadata/2035e01e-eef5-4806-948c-df7b966169a1,grndversch_gevoeligh,WFS-feature Gevoeligheid voor grondverschuivingen,wfs
eea_r_3035_5_km_smoisture-anomalies-gs-2021_p_2000-2021_v01_r00,NULL,NULL,wms
"eea_r_3035_5_km_smoisture-anomalies-gs-2019_p_2000-2019_v01_r00,DAT-247-en",NULL,NULL,wms
eea_v_4258_100_k_impervious-area-umz_p_2015_v01_r00,NULL,NULL,wms
eea_v_3035_1_km_n-p-agri-soil_p_2008-2019_v01_r00,NULL,NULL,wms
eea_v_4258_100_k_impervious-area-city_p_2015_v01_r00,NULL,NULL,wms
eea_r_3035_100_m_imd-2009-acc_p_2008-2010_v01_r03,NULL,NULL,wms
eea_r_3035_100_m_imd-2006-acc_p_2005-2007_v01_r03,NULL,NULL,wms
eea_r_3035_100_m_imd-2012-acc_p_2011-2013_v01_r03,NULL,NULL,wms
