"['nutrient flows', 'en']",https://soilwise-he.github.io/soil-health#Nutrients,80
"['systems', 'en']",https://soilwise-he.github.io/soil-health#Ecosystems,82
"['Denitrification', 'en']",https://soilwise-he.github.io/soil-health#Desertification,80
"['Respiración del suelo', 'en']",https://soilwise-he.github.io/soil-health#SoilDegradation,81
"['Animal Management', 'en']",https://soilwise-he.github.io/soil-health#LandManagement,81
"['Bodeneigenschaften', 'de']",https://soilwise-he.github.io/soil-health#SoilProperties,94
"['biological activity', 'en']",https://soilwise-he.github.io/soil-health#SoilBiologicalActivity,88
"['atividade biológica', 'en']",https://soilwise-he.github.io/soil-health#Biodiversity,82
"['Materials', 'en']",https://soilwise-he.github.io/soil-health#Biomaterials,86
"['SOIL ORDER', 'en']",https://soilwise-he.github.io/soil-health#SoilCover,80
"['BIODIVERSITE', 'en']",https://soilwise-he.github.io/soil-health#Biodiversity,92
"['BALANCE', 'en']",https://soilwise-he.github.io/soil-health#SoilStructure,80
"['vegetation shift', 'en']",https://soilwise-he.github.io/soil-health#Vegetation,80
"['basic soil properties', 'en']",https://soilwise-he.github.io/soil-health#IntrinsicSoilProperties,83
"['acque', 'it']",https://soilwise-he.github.io/soil-health#Water,80
"['protection', 'en']",https://soilwise-he.github.io/soil-health#SoilProtection,80
"['Agricultural systems', 'en']",https://soilwise-he.github.io/soil-health#AgriculturalSubsidies,81
"['chemical deterioration', 'en']",https://soilwise-he.github.io/soil-health#SoilDegradation,80
"['physical deterioration', 'en']",https://soilwise-he.github.io/soil-health#SoilDegradation,85
"['Diversity', 'en']",https://soilwise-he.github.io/soil-health#Biodiversity,86
"['YIELD RESPONSE', 'en']",https://soilwise-he.github.io/soil-health#CropYieldResponse,85
"['ASSESSMENTS', 'en']",https://soilwise-he.github.io/soil-health#Compaction,80
"['N DEPOSITION', 'en']",https://soilwise-he.github.io/soil-health#Decomposition,80
"['CROP RESIDUE', 'en']",https://soilwise-he.github.io/soil-health#PlantResidues,96
"['Soil Functions Data', 'en']",https://soilwise-he.github.io/soil-health#SoilFunctions,85
"['Carbono orgânico', 'en']",https://soilwise-he.github.io/soil-health#OrganicCarbon,94
"['Manejo do solo', 'en']",https://soilwise-he.github.io/soil-health#SoilManagement,80
"['Fertilidade do solo', 'en']",https://soilwise-he.github.io/soil-health#SoilFertility,82
"['carbono orgânico', 'en']",https://soilwise-he.github.io/soil-health#OrganicCarbon,94
"['SO', 'fr']",https://soilwise-he.github.io/soil-health#Soil,80
"['Soils', 'fr']",https://soilwise-he.github.io/soil-health#Soil,89
"['Air Pollution', 'en']",https://soilwise-he.github.io/soil-health#SoilPollution,81
"['total organic carbon', 'en']",https://soilwise-he.github.io/soil-health#SoilOrganicCarbon,87
"['Surface runoff', 'en']",https://soilwise-he.github.io/soil-health#SurfaceRun-off,97
"['MINERALIZATION', 'en']",https://soilwise-he.github.io/soil-health#Mineralization,93
"['AGRICULTURAL SITES', 'en']",https://soilwise-he.github.io/soil-health#AgriculturalSubsidies,85
"['available field capacity', 'de']",https://soilwise-he.github.io/soil-health#AvailableWaterCapacity,83
"['spatial variability', 'en']",https://soilwise-he.github.io/soil-health#SoilVariability,86
"['starch content', 'en']",https://soilwise-he.github.io/soil-health#SOCContent,80
"['oil content', 'en']",https://soilwise-he.github.io/soil-health#SOCContent,82
"['Physical attributes', 'en']",https://soilwise-he.github.io/soil-health#SoilAttributes,82
"['physical attributes', 'en']",https://soilwise-he.github.io/soil-health#SoilAttributes,82
"['land cover mapping', 'en']",https://soilwise-he.github.io/soil-health#Acidification00093,80
"['Land cover mapping', 'en']",https://soilwise-he.github.io/soil-health#Acidification00093,80
"['WASS', 'en']",https://soilwise-he.github.io/soil-health#Water,80
"['bioindicators', 'en']",https://soilwise-he.github.io/soil-health#Indicators,87
"['Water aggregate stability', 'en']",https://soilwise-he.github.io/soil-health#AggregateStability,86
"['Erosió eòlica', 'en']",https://soilwise-he.github.io/soil-health#WindErosion,89
"['Soil property', 'en']",https://soilwise-he.github.io/soil-health#SoilProperties,86
"['Site assessment', 'en']",https://soilwise-he.github.io/soil-health#RiskAssessment,80
"['Sand Erosion', 'en']",https://soilwise-he.github.io/soil-health#WaterErosion,83
"['Oil quality', 'en']",https://soilwise-he.github.io/soil-health#SoilHealth,96
"['microbial necromass', 'en']",https://soilwise-he.github.io/soil-health#MicrobialBiomass,83
"['effective cation exchange capacity', 'en']",https://soilwise-he.github.io/soil-health#CationExchangeCapacity,83
"['Soil organic carbon stocks', 'en']",https://soilwise-he.github.io/soil-health#SOCLoss,88
"['Composting', 'en']",https://soilwise-he.github.io/soil-health#Compost,82
"['composting', 'en']",https://soilwise-he.github.io/soil-health#Compost,82
"['Organic fertilizers', 'en']",https://soilwise-he.github.io/soil-health#MineralFertilisers,95
"['Glacial biodiversity', 'en']",https://soilwise-he.github.io/soil-health#SoilBiodiversity,81
"['restoration', 'en']",https://soilwise-he.github.io/soil-health#Respiration,82
"['ECOSYSTEME', 'en']",https://soilwise-he.github.io/soil-health#Ecosystems,90
"['erosie', 'nl']",https://soilwise-he.github.io/soil-health#SoilErosion,86
"['Microbial bioma', 'en']",https://soilwise-he.github.io/soil-health#MicrobialBiomass,94
"['microbial bioma', 'en']",https://soilwise-he.github.io/soil-health#MicrobialBiomass,94
"['Soil nutrients', 'en']",https://soilwise-he.github.io/soil-health#SoilNutrientStatus,82
"['Yield response', 'en']",https://soilwise-he.github.io/soil-health#CropYieldResponse,85
"['agricultural soils', 'en']",https://soilwise-he.github.io/soil-health#AgriculturalSubsidies,80
"['soil compaction', 'en']",https://soilwise-he.github.io/soil-health#Compaction,80
"['Soil condition indicators', 'en']",https://soilwise-he.github.io/soil-health#SoilFunctionIndicators,86
"['Soil Organic Carbon Content', 'en']",https://soilwise-he.github.io/soil-health#SoilOrganicCarbon,83
"['Fine root production', 'en']",https://soilwise-he.github.io/soil-health#FoodProduction,80
"['Microbial biomass carbon', 'en']",https://soilwise-he.github.io/soil-health#MicrobialBiomass,83
