subject_label,vocab_label,subject_id,subject_uri,vocab_identifier,cosine_score,ce_score
soil structural units,soil structure index,169572,,https://w3id.org/eusoilvoc#SoilStructureIndex,0.8709,0.6832
agro-waste valorisation,soil management,167452,,https://w3id.org/eusoilvoc#SoilManagement,0.7119,0.6608
atmosphärische bedingungen,environmental factors,167588,,https://w3id.org/eusoilvoc#EnvironmentalFactors,0.8032,0.8798
crop residues,crop residue mulch,167601,,https://w3id.org/eusoilvoc#CropResidueMulch,0.8441,0.8615
food production (agriculture),food production,167638,,https://w3id.org/eusoilvoc#FoodProduction,0.8993,0.6726
vegetable cultivation,plant cover,167644,,https://w3id.org/eusoilvoc#PlantCover,0.8473,0.6101
vegetable waste,plant cover,167645,,https://w3id.org/eusoilvoc#PlantCover,0.7079,0.6255
organic matter,soil organic matter class,167647,,https://w3id.org/eusoilvoc#SoilOrganicMatterClass,0.7106,0.8396
soil biology,soil biological functions,167651,,https://w3id.org/eusoilvoc#SoilBiologicalFunctions,0.93,0.8921
ekosystémové služby,ecosystem services,167653,,https://w3id.org/eusoilvoc#EcosystemServices,0.9836,0.9972
mikro-organismit,microbes,167696,,https://w3id.org/eusoilvoc#Microbes,0.842,0.8385
texture,texture lab class,167697,,https://w3id.org/eusoilvoc#TextureLabClass,0.7651,0.6036
soil resilience,soil structural resilience,167726,,https://w3id.org/eusoilvoc#SoilStructuralResilience,0.9706,0.7375
n/a,nitrogen,167732,,https://w3id.org/eusoilvoc#Nitrogen,0.7379,0.9463
soil aggregates,soil aggregation,169621,,https://w3id.org/eusoilvoc#SoilAggregation,0.9394,0.9435
bundles,soil density,167855,,https://w3id.org/eusoilvoc#SoilDensity,0.6133,0.6086
total nitrogen,nitrogen total,167894,,https://w3id.org/eusoilvoc#NitrogenTotal,0.9962,0.8552
decline soil biodiversity,soil biodiversity loss,167963,,https://w3id.org/eusoilvoc#SoilBiodiversityLoss,0.9383,0.9454
total phosphorus,phosphorus total elements,167982,,https://w3id.org/eusoilvoc#PhosphorusTotalElements,0.9541,0.9384
total potassium,potassium total elements,167983,,https://w3id.org/eusoilvoc#PotassiumTotalElements,0.9574,0.8107
