"id","record_id","name","format","url","description"
48402,"https://registry.gdi-de.org/id/de.be.csw/b144655f-7cea-3867-bfe4-75fd2c07791f",NULL,"Darstellungsdienst - Bodenarten 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_bodenarten_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Bodenarten 2020 (Umweltatlas) (WMS)"
48412,"r_lombar:c90c42ea-bc38-4f33-aab6-0307dd34a99c",NULL,"WMS","https%3A%2F%2Fwww.cartografia.servizirl.it%2Farcgis1%2Fservices%2Fterritorio%2FDissesti_lineari_Art9_PAI%2FMapServer%2FWMSServer%3Frequest%3DGetCapabilities%26service%3DWMS",NULL
48414,"r_lombar:c90c42ea-bc38-4f33-aab6-0307dd34a99c",NULL,"WFS","https%3A%2F%2Fwww.cartografia.servizirl.it%2Farcgis1%2Fservices%2Fterritorio%2FDissesti_lineari_Art9_PAI%2FMapServer%2FWFSServer%3Frequest%3DGetCapabilities%26service%3DWFS",NULL
48424,"r_friuve:m3975-cc-i1479",NULL,"Web Map Service (WMS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwms%3Frequest%3DGetCapabilities%26service%3Dwms%26version%3D1.3.0",NULL
48425,"r_friuve:m3975-cc-i1479",NULL,"Web Feature Service (WFS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwfs%3Frequest%3DGetCapabilities%26service%3Dwfs%26version%3D2.0.0",NULL
48465,"r_lombar:73d5ef45-6424-4d1a-9acc-2898f9c72b5d",NULL,"WMS","https%3A%2F%2Fwww.cartografia.servizirl.it%2Fexpo%2Fservices%2Fgpt%2Fcomuni_emergenza_sismica%2FMapServer%2FWMSServer%3F",NULL
48435,"r_lombar:22214824-4535-4d3d-bce6-e7ca4896b7d8",NULL,"WMS","https%3A%2F%2Fwww.cartografia.servizirl.it%2Farcgis1%2Fservices%2Fterritorio%2Fprogetto_strategico_seveso%2FMapServer%2FWMSServer%3F",NULL
48436,"https://registry.gdi-de.org/id/de.be.csw/8362c977-a6cc-36da-b434-e2de5ee823a6",NULL,"Darstellungsdienst - Gesättigte Wasserleitfähigkeit (kf-Wert) der Böden 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_kf_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Gesättigte Wasserleitfähigkeit (kf-Wert) der Böden 2020 (Umweltatlas) (WMS)"
48449,"r_friuve:m3963-cc-i1461",NULL,"Web Map Service (WMS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwms%3Frequest%3DGetCapabilities%26service%3Dwms%26version%3D1.3.0",NULL
48450,"r_friuve:m3963-cc-i1461",NULL,"Web Feature Service (WFS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwfs%3Frequest%3DGetCapabilities%26service%3Dwfs%26version%3D2.0.0",NULL
48472,"r_friuve:m3982-cc-i1494",NULL,"Web Feature Service (WFS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwfs%3Frequest%3DGetCapabilities%26service%3Dwfs%26version%3D2.0.0",NULL
48473,"r_friuve:m3982-cc-i1494",NULL,"Web Map Service (WMS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwms%3Frequest%3DGetCapabilities%26service%3Dwms%26version%3D1.3.0",NULL
